,Unnamed: 0.1,Unnamed: 0,Text,socialMediaAbuse,twitterHateSpeech,tweets_clark_socialMediaAbuse,tweets_clark_twitterHateSpeech
0,0,0,@Reese10Angel Do you have the link to Caitlin Clark’s jersey? I want one of those.,"[245, 4362, 5528, 6668, 5993]","[5733, 4066, 4136, 3158, 5730]",1,2
1,1,1,@KariLake I'd vote for Caitlin Clark before I'd ever vote for your loser ass.,"[5528, 7607, 4437, 4348, 3715]","[4133, 2503, 6075, 18244, 4843]",0,0
2,2,2,@TMZ Is she mad because Caitlin Clark was the best player in the entire women’s NCAA tournament? Sounds like Ma Racism yo!,"[5528, 6234, 2026, 4643, 214]","[15088, 1445, 5137, 5444, 20778]",0,0
3,3,3,@B1GIowaWbbStan If Caitlin Clark doesn’t win a National championship it’s a tragedy,"[5528, 7607, 1973, 4843, 4437]","[18399, 14950, 5444, 14586, 2846]",1,2
4,4,4,"Check out an all new episode of the Bamgboshe Happy Hour streaming tonight Wednesday April 5th at 7pm CT!

https://t.co/QkSXBNjVQq

#firstlady #NCAAChampionship #AngelReese #CaitlinClark #IndictmentDay #podcast https://t.co/I5rvM2siJK","[6325, 2594, 2068, 6429, 2852]","[9348, 18225, 15163, 3490, 4273]",0,2
5,5,5,"@downs_dick @seahawksfan2314 @Reese10Angel It actually means no one gives a fucc about women basketball unless they are as cold as Caitlin Clark!  Angel Reese is a great player, I’m sure she will be a social justice warrior as well, all I’m saying is I knew nothing about any of these females until Caitlin Clark 🔥💯","[4643, 5865, 6426, 4626, 392]","[2484, 14832, 1844, 19899, 18581]",0,1
6,6,6,"Here is a quick hitter from Lisa Bluder &amp; the Iowa Hawkeyes.  It's a great way to get Caitlin Clark on the move and into the lane.  When the defense helps off the post, then she is able to dish the ball.

@LuceoSports https://t.co/kiwXK3GPGk","[2026, 2402, 789, 4168, 1925]","[5042, 1092, 16138, 15850, 17877]",1,2
8,8,8,"@_jordanligons @airswoopes22 Records are meant to be broken, and Caitlin Clark did it in style! Congratulations on a fantastic accomplishment, but Sheryl Swoopes will always remain a legend in the game of basketball."" #NCAATournament #BasketballLegends Click my profile plz","[5528, 1594, 5865, 1057, 2638]","[1696, 3039, 1844, 17995, 18399]",1,2
9,9,9,@HotFreestyle @IAMATHLETEpod Caitlin Clark in an interview said that she didn’t have an issue with Reese waving her hand it’s just fierce competition. Plus Clark thinks that LSU should only go and her team doesn’t deserve to go. That’s called class by the GOAT.🐐🏀,"[2852, 6190, 5528, 392, 2026]","[17778, 12296, 8393, 17995, 3354]",1,2
10,10,10,"@reedstrongalt @cjbrinton In order: ""who'd the Cougs lose now?""  ""Caitlin Clark to the NBA draft."" ""Kirk and Brian Feremtz long term extensions.""  Then Bers.","[4843, 7946, 2026, 3384, 5961]","[14037, 17400, 18977, 18445, 14924]",0,2
11,11,11,@Zvbear i can’t believe they had the audacity to call caitlin clark ugly.,"[7607, 6234, 5662, 4848, 6881]","[2855, 20008, 15977, 16894, 15480]",0,1
12,12,12,@OnePrideJosh @LeisaEStephens1 @Reese10Angel The people still on her Twitter angry and lying a full 72 hours after she dared to give Caitlin Clark a taste of her own medicine are the ones who want to make it about race.,"[958, 992, 8462, 2665, 854]","[7085, 3292, 19572, 14141, 6650]",0,2
13,13,13,"@CNN Even after Caitlin Clark responded professionally, Reese still showing she's the one with attitude and can't leave it on the court. No class! Prove she's the one that has issues. And she's showing how racist she is.","[6777, 6234, 392, 5826, 1748]","[13644, 15088, 12951, 12901, 6972]",0,0
14,14,14,"@AP Iowa coach Bluder and Caitlin Clark both said they declined the invite and LSU are the National Champions, thus earned that right to go, not Iowa. They want the tradition to stay intact.","[3922, 6190, 2852, 5172, 8193]","[8393, 731, 12296, 7549, 24711]",0,2
15,15,15,@The_Kay_Bees @Beauty4ashes144 @TMZ It’s racist because everyone is clowning Angel Reese but PRAISING Caitlin Clark. For the exact same thing.,"[2665, 7607, 6234, 958, 3222]","[6397, 2720, 4646, 7085, 19176]",0,0
17,17,17,"Legendary Texas sportswriter John Lopez wrote about what @TheMasters can learn from women's hoops' newest rivalry between Angel Reese and Caitlin Clark. Check it out at my Texas sports site, @GallerySports!

@LopezOnSports
Full Story➡️https://t.co/74Pde7gK55 https://t.co/pyokrYTEGL","[3462, 2026, 2974, 6777, 2312]","[99, 14186, 16363, 15711, 6125]",1,2
19,19,19,"inspirational

best believe my kids will be watching larry bird and caitlin clark videos at an early age","[8243, 193, 4228, 697, 3741]","[10649, 8849, 8000, 24391, 9167]",1,2
20,20,20,"Robert Littal of @BSO Entertainment Breaks Down:

The TRUTH About Angel Reese-Caitlin Clark.

Streaming Live ✨
https://t.co/Cjn105OFrH ✨","[958, 951, 3730, 3256, 2178]","[17956, 24414, 18916, 8950, 24314]",0,2
21,21,21,"Caitlin Clark - You can’t see me taunt (Louisville) / Not worried about em (North Carolina) . 

Angel Reese - taunt the one person taunting multiple teams 🤦🏾‍♂️

Guess what the difference was between being savage and being classless.","[317, 2026, 5436, 7732, 2732]","[22668, 19523, 5650, 9198, 17995]",0,2
22,22,22,Whitlock: Jill Biden wants to groom Caitlin Clark for the Democratic Party https://t.co/LbTI6bATSd,"[3976, 2780, 3628, 5528, 8462]","[18679, 20837, 16296, 20838, 12386]",0,1
24,24,24,So....where are all those Caitlin Clark fans that can argue on the internet for her honor but not follow her on insta? It's almost as if they don't like Caitlin that much and used her to be r word to Angel.,"[2665, 6234, 3628, 4958, 2568]","[22771, 5137, 6068, 4133, 9088]",0,0
25,25,25,@Jayslay2022 @Realrclark25 Caitlin Clark did this FIRST to the opposing team during the semi- finals and if it were done during or after the game what difference does it make? Why didn't you mention why she didn't  keep playing or go celebrate with her team as you feel Reese should have done ?,"[6777, 5865, 1594, 1122, 5826]","[9122, 3892, 5479, 22577, 12370]",0,2
