,Unnamed: 0.1,Unnamed: 0,Text,socialMediaAbuse,twitterHateSpeech,tweets_reese_socialMediaAbuse,tweets_reese_twitterHateSpeech
0,0,0,dang angel reese is so damn pretty to me,"[5826, 3730, 1748, 8250, 951]","[10485, 7768, 12852, 21979, 2958]",1,2
1,1,1,"@AP She never should have invited Iowa to begin with, with that being said angel reese is just drama.","[2751, 6234, 2026, 3256, 3922]","[3086, 9637, 16059, 17781, 7768]",0,1
2,2,2,@CWilliamson44 @Reese10Angel Every word out of Angel Reese’s mouth is a national embarrassment.  Some people just don’t know when to shut up.,"[661, 6061, 7128, 2928, 5826]","[3867, 3866, 1528, 5353, 14063]",0,0
3,3,3,I’m from the U.K. you know TERF island lololol but I heard there was a women basketball final (or big game is there such thing?) who knew…my conclusion: Angel Reese is a racist. Solved it for you sleep well.,"[1178, 6076, 8488, 155, 3496]","[7768, 21418, 7546, 8018, 4628]",0,0
4,4,4,After nba ran the test script with Ja it was then approved for Angel Reese arc,"[6979, 4342, 4684, 5865, 7985]","[1222, 14422, 22626, 6499, 8672]",1,2
5,5,5,@bjackrose @JohnExit74nj @Jabb3rJ @nut_history Imo Angel Hernandez gets the nod bc he’s compounded his poor umpiring/arrogance with an egotistical belief that the MLB refuses to give him postseason games because of his race.,"[3287, 7746, 3255, 1152, 4164]","[18955, 15119, 7285, 5208, 19703]",0,0
6,6,6,"@HotFreestyle @IAMATHLETEpod Angel Reese, be a good sport!  Do you realize how lucky you are to get an invite??!!  Don’t blow this chance!","[7838, 3922, 5303, 4168, 764]","[3886, 4916, 4324, 6195, 1696]",1,2
8,8,8,"@GullahRehabbed Jill Biden was out of line and ought to apologize, and also I’m curious what anti-Biden messages Angel Reese and teammates have been fed by their maga coach.","[959, 661, 6401, 6502, 2780]","[3671, 14366, 18313, 17752, 4876]",0,1
9,9,9,"Angel Reese just can’t help herself-blah, blah, blah-everything is racial. I’ll say it again-I don’t give a fuck what color she is-she is 100% trash. Bring on ur criticism bc I don’t really give a fuck","[6976, 6596, 2665, 6234, 6454]","[12951, 13644, 1497, 24211, 980]",0,0
10,10,10,#AccusedOnFOX 🔥🔥🔥🔥🔥,"[2047, 266, 5711, 2181, 2517]","[1016, 23009, 4438, 14775, 924]",1,2
11,11,11,I will say this. Angel Reese would have never worked with Sabrina Claudio. But calling Beyonce a coward is crazy.,"[1748, 5537, 8250, 8080, 8086]","[23639, 12729, 23673, 13199, 7701]",1,2
12,12,12,"@FLOTUS' move is racism and whiteness at work. Never has the LOSING team been invited to the White House. The narrative against @Reese10Angel is a racist double-standard magnified by Biden who's pitied Clark, the instigator. I stand by @LSUwbkb THE CHAMPS. #AngelReese #LSU","[1655, 6190, 3462, 2778, 2852]","[12296, 8393, 17778, 3751, 3354]",0,0
13,13,13,@Hoosiers1986 @jemelehill Yeah this is your class because she can do it to another team and even thrive on the hype of doing it but poor Angel Reese does it to show her to be more respectful towards her opponents and y’all say she is jealous. You right Reece has the Title/Ring and Most outstanding player https://t.co/m9F1ob6A71,"[2026, 2455, 417, 5632, 6874]","[2629, 6075, 78, 2369, 5415]",0,2
14,14,14,"Also, Jackie got some problems she needs to work through before she’s with ANYbody.","[820, 4437, 7992, 7649, 1602]","[20430, 12841, 23098, 19602, 349]",0,1
15,15,15,Angel Reese makes a case to be one of the best players in LSU history. I said what I said,"[927, 5826, 5527, 1655, 5865]","[17778, 9138, 7507, 13814, 12259]",1,2
16,16,16,@y2roby @Brad2pointO @MattMcGahey05 @krassenstein NCAA champion Angel Reese. Much better option for women.,"[2026, 4643, 6777, 3307, 2192]","[4987, 3195, 4144, 5699, 4491]",1,2
17,17,17,Need that Sha’Carri Richardson and Angel Reese link up so we can really shake the table,"[6777, 3384, 5357, 2026, 1014]","[24142, 9283, 12051, 21242, 660]",1,2
18,18,18,"Angel Reese is getting bad advice. 
It’s a bad look to be this petty. Most of us thought we had all the answers at age 20, but we didn’t. https://t.co/Ui4aFcQtYo","[5529, 1748, 5826, 5088, 5129]","[24145, 21997, 11985, 12144, 24608]",0,2
19,19,19,I’m so tired of Kwame talking about/to Micah,"[8405, 3210, 5047, 5266, 8408]","[17556, 6458, 8754, 9735, 19470]",0,2
20,20,20,"@omekongo @IAmSophiaNelson @FLOTUS And her press conference inviting the runner-ups was a slip up. But then fail to say sorry in the same manner was beneath her.  

We agree to disagree but some bridges need to be built by the person who burnt it. #AngelReese &amp; #LSU are unapologetic and thats ok.","[3976, 6190, 6991, 6684, 2852]","[17778, 8393, 3354, 7539, 12296]",0,2
